1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
89,1,10.662629668156,19.0775209619754,29.4855348120815,0,3.59273855585683,306.359234673955,275,-275,31.3592346739555
90,1,10.9784847391799,14.8060904991553,26.008521335608,0,3.16466306977905,330.229305002213,275,-275,55.2293050022134
91,1,13.813093552839,5.19249363539585,35.7717909649111,395.177383592018,3.39576691418984,308.988735114258,275,120.177383592018,33.9887351142581
92,1,11.743749507756,16.1186055200758,32.1796445918656,0,3.70835162744394,277.856529516995,275,-275,2.85652951699461
93,1,22.3443301592002,7.43758511854926,61.8148521694907,370.198142414861,3.66672761885151,297.519836096107,275,95.1981424148607,22.5198360961073
94,1,22.8354175136474,5.65302522168373,61.0204351831441,643.162932790224,3.57599717251623,338.841698113208,275,368.162932790224,63.8416981132075
95,1,12.7029183708952,4.46715638699244,35.1385600337652,396.541237113402,3.66689959246968,280.051769331586,275,121.541237113402,5.05176933158583
96,1,20.2840896489893,5.53789232511176,54.1470012577975,572.47817047817,3.52992038646939,371.62662130555,275,297.47817047817,96.6266213055496
97,1,15.4489909106072,4.2253773041913,37.9823425790929,481.768392370572,3.26552578717263,298.88875416793,275,206.768392370572,23.8887541679297
98,1,22.2457098075151,39.0761050965266,63.1619070593827,0,3.77569116372364,282.400109369304,275,-275,7.40010936930366
99,1,15.5908009546851,4.66288231116479,40.849151703735,422.945679012346,3.46446090049867,296.492390078918,275,147.945679012346,21.4923900789177
100,1,13.7669939201213,3.92603177310418,33.6993988266156,462.178885630499,3.25962816284804,313.809702767339,275,187.178885630499,38.8097027673386
101,1,11.5289993091806,12.9409375746894,29.6121809983107,0,3.40676670716215,291.579315707621,275,-275,16.5793157076205
102,1,16.2206502369457,5.06584744916668,43.9347133318638,471.747727272727,3.64608145618303,284.520440251572,275,196.747727272727,9.52044025157232
103,1,12.2982272004928,10.6843328018788,32.7437957850683,0,3.61460746676455,264.24964838256,275,-275,-10.7503516174402
104,2,30.140877332539,3.59214637304546,78.5897152000267,430.375,4.43307786456118,299.614415470261,275,155.375,24.6144154702608
105,1,16.037657211192,4.75498862842236,43.2554292420891,569.273607748184,3.54877660059434,341.115517700293,275,294.273607748184,66.1155177002928
106,1,12.9486070862368,4.19083743521971,33.1813007920418,408.244505494506,3.41018673384615,319.684247050659,275,133.244505494506,44.6842470506593
107,1,11.934122500726,18.2831039756288,32.5250432815815,0,3.62040935108806,250.897345132743,275,-275,-24.1026548672566
108,1,13.9019367358026,21.6910377141592,34.597435419877,0,3.36455528502628,284.5846921797,275,-275,9.58469217970048
109,1,16.3021881278801,4.12175769727653,41.1369839451649,710.849162011173,3.31453174915665,369.109991603694,275,435.849162011173,94.1099916036944
110,1,13.3279692113152,3.75333242824622,34.3671696267331,433.352760736196,3.40639825726819,302.011725293132,275,158.352760736196,27.0117252931323
111,1,16.7604735903941,5.01979429053789,44.7406436078675,706.692660550459,3.62576612558779,371.062274832733,275,431.692660550459,96.0622748327329
112,1,15.9818617414688,4.81255507670835,41.6781085590531,518.16028708134,3.40751747665179,317.13453038674,275,243.16028708134,42.1345303867403
113,2,20.0546394270591,4.67439560082198,62.183277438521,627.549261083744,4.11500848690963,385.585817441215,275,352.549261083744,110.585817441215
114,1,14.8101939120987,3.70727926961743,39.041565227555,460.114906832298,3.41897809778625,312.860218224712,275,185.114906832298,37.8602182247125
115,1,14.3393473056075,4.85860823533713,38.0053691584073,507.130331753555,3.45371202397544,334.804604665253,275,232.130331753555,59.804604665253
116,1,16.3869611152875,4.66288231116479,44.7636701871819,472.308641975309,3.6039057063105,302.171810699588,275,197.308641975309,27.1718106995885
117,1,20.1657258632307,8.23200210489586,53.2489646645361,552.793006993007,3.54056140025442,363.119783783784,275,277.793006993007,88.1197837837838
118,1,11.7012469509752,3.79938558687501,32.1220781435796,411.390909090909,3.57068289266813,282.720788530466,275,136.390909090909,7.72078853046594
119,1,19.4259021549927,5.19249363539585,52.0400692505304,565.69623059867,3.58106859851636,338.734513274336,275,290.69623059867,63.7345132743363
120,1,15.6778056535898,4.31748362144888,41.9544275108259,537.370666666667,3.51322807557955,330.808177826564,275,262.370666666667,55.8081778265642
121,1,19.3883800707074,36.5892345305721,52.6272470230475,0,3.64671385868069,308.317217239116,275,-275,33.3172172391162
122,1,16.3867197806231,4.83558165602274,44.7521568975247,599.721428571429,3.58209343766512,327.11139696424,275,324.721428571429,52.1113969642398
123,2,21.6151256247547,12.8488312574319,58.0154665826157,0,3.56184875652588,259.331018059139,275,-275,-15.6689819408613
124,2,20.5763788631536,3.55760650407387,54.9759581131157,441.388349514563,3.55064378256133,305.446492146597,275,166.388349514563,30.4464921465969
